TRS_TYPE,NAMAOUTLET,TGL_INVC,NAMABARANG,QTYSALES
SALES,AGUNG.TO,44585,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,PT. KALIMAS GLOBAL ASIA,44585,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,SOLO BARU.TO,44585,NATURALLE TONGKAT ALI PLUS (BTL/60),4
RETUR,JEMADI.Ap,44586,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
RETUR,JEMADI.Ap,44586,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
RETUR,MEKA.Ap,44586,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
RETUR,MEKA.Ap,44586,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
SALES,BINTANG FARMA. CV,44586,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),24
SALES,VITA SARI.Ap,44586,NATURALLE BETA CAROTENE 6MG (BTL/30S),24
SALES,KELUARGA.Ap,44586,NATURALLE GARLIC OIL 3000MG (BTL/100S),1
SALES,VITA SARI.Ap,44587,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,VITA SARI.Ap,44587,NATURALLE GARLIC OIL 3000MG (BTL/100S),24
SALES,VITA SARI.Ap,44587,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),72
SALES,DELI.Ap,44587,CHAMPS VIT C 100MG (BTL/30),4
RETUR,HORISAN.Ap,44588,NATURALLE GARLIC OIL 3000MG (BTL/100S),-7
RETUR,HORISAN.Ap,44588,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-6
RETUR,HORISAN.Ap,44588,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-7
RETUR,HORISAN.Ap,44588,NATURALLE KACIP FATIMAH PLUS (BTL/60),-2
RETUR,HORISAN.Ap,44588,NATURALLE TONGKAT ALI PLUS (BTL/60),-3
RETUR,HARRY NA JAYA FARMA.Ap,44588,NATURALLE GARLIC OIL 3000MG (BTL/100S),-3
RETUR,KASIH AGAPE.Ap,44588,NATURALLE VIT E 250IU (BTL/30S),-1
SALES,RAFIF FARMA.Ap,44588,CHAMPS VIT C 100MG (BTL/30),4
SALES,RAFIF FARMA.Ap,44588,MAXITON SOFT CAP (BTL/30S),1
SALES,HARRY NA JAYA FARMA.Ap,44588,NATURALLE GARLIC OIL 3000MG (BTL/100S),4
SALES,ANDA.TO,44588,MAXITON SOFT CAP (BTL/30S),12
SALES,SINAR RAYA.Ap,44588,MAXITON SOFT CAP (BTL/30S),24
RETUR,SARI GUNUNG.Ap,44589,NATURALLE EPO PLUS FISH OIL 500MG(BTL/30S),-10
RETUR,TERANG.Ap,44589,NATURALLE BETA CAROTENE 6MG (BTL/30S),-1
RETUR,TERANG.Ap,44589,NATURALLE VIT E 250IU (BTL/30S),-1
RETUR,ANUGRAH PERSADA.Ap,44589,NATURALLE FISH OIL 1000MG (BTL/60S),-2
SALES,SAMUDRA.Ap,44589,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,JUNITA PURBA.AM.KEB,44589,CHAMPS VIT C 100MG (BTL/30),4
SALES,HORISAN.Ap,44589,NATURALLE FISH OIL 1000MG (BTL/60S),36
SALES,AGUNG.TO,44589,NATURALLE GARLIC OIL 3000MG (BTL/100S),36
SALES,PAK PAK. TO,44589,CHAMPS VIT C 100MG (BTL/30),4
SALES,TERANG.Ap,44589,MAXITON SOFT CAP (BTL/30S),1
SALES,TERANG.Ap,44589,NATURALLE FISH OIL 1000MG (BTL/60S),1
SALES,SINAR RAYA.Ap,44590,CHAMPS VIT C 100MG (BTL/30),12
SALES,SAMUDRA.Ap,44590,MAXITON SOFT CAP (BTL/30S),30
RETUR,SMARCO MANDIRI SUKSES.PT,44592,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-12
RETUR,RINA SHOP.Tk,44592,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),-1
RETUR,RINA SHOP.Tk,44592,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),-1
SALES,AGUNG.TO,44592,NATURALLE TONGKAT ALI PLUS (BTL/60),16
SALES,GUNA F.Ap,44592,MAXITON SOFT CAP (BTL/30S),1
SALES,SMARCO MANDIRI SUKSES.PT,44592,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),12
SALES,DETTY.Ap,44592,NATURALLE GARLIC OIL 3000MG (BTL/100S),4
SALES,DETTY.Ap,44592,MAXITON SOFT CAP (BTL/30S),3
SALES,RAYA IV.Ap,44592,CHAMPS VIT C 100MG (BTL/30),4
SALES,SARI GUNUNG.Ap,44592,CHAMPS VIT C 100MG (BTL/30),48
SALES,SARI GUNUNG.Ap,44592,MAXITON SOFT CAP (BTL/30S),24
SALES,SARI GUNUNG.Ap,44592,NATURALLE BETA CAROTENE 6MG (BTL/30S),24
SALES,SARI GUNUNG.Ap,44592,NATURALLE VIT E 250IU (BTL/30S),24
SALES,SARI GUNUNG.Ap,44592,NATURALLE FISH OIL 1000MG (BTL/60S),30
SALES,VITA SARI.Ap,44592,MAXITON SOFT CAP (BTL/30S),24
SALES,VITA SARI.Ap,44592,NATURALLE BETA CAROTENE 6MG (BTL/30S),24
SALES,VITA SARI.Ap,44592,NATURALLE TONGKAT ALI PLUS (BTL/60),12
SALES,BONA JAYA.AP,44592,NATURALLE BETA CAROTENE 6MG (BTL/30S),72
SALES,BONA JAYA.AP,44592,NATURALLE GARLIC OIL 3000MG (BTL/100S),24
SALES,BINTANG FARMA. CV,44592,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),1
SALES,BINTANG FARMA. CV,44592,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),49
SALES,BINTANG FARMA. CV,44592,CHAMPS VIT C 100MG (BTL/30),50
SALES,BONA JAYA.AP,44592,MAXITON SOFT CAP (BTL/30S),72
SALES,SARI GUNUNG.Ap,44592,MAXITON SOFT CAP (BTL/30S),25
SALES,SARI GUNUNG.Ap,44592,NATURALLE VIT E 250IU (BTL/30S),12
SALES,SAUDARA JAYA.Ap,44592,MAXITON SOFT CAP (BTL/30S),24
SALES,TANJUNG SARI.Ap,44594,MAXITON SOFT CAP (BTL/30S),6
SALES,SITI AMNA.Klinik,44595,CHAMPS VIT C 100MG (BTL/30),4
SALES,PT. KALIMAS GLOBAL ASIA,44596,FLAVETTES VIT C WITH CALCIUM 1000 MG (BTL/30),41
SALES,WATIYEM.Bidan,44597,CHAMPS VIT C 100MG (BTL/30),4
SALES,PT. KALIMAS GLOBAL ASIA,44599,NATURALLE VIT E 250IU (BTL/30S),48
SALES,KASIH AGAPE.Ap,44601,NATURALLE GARLIC OIL 3000MG (BTL/100S),2
SALES,ROMERO.Ap,44601,CHAMPS VIT C 100MG (BTL/30),4
SALES,ROMERO.Ap,44601,MAXITON SOFT CAP (BTL/30S),1
SALES,PT. KALIMAS GLOBAL ASIA,44601,MAXITON SOFT CAP (BTL/30S),48
SALES,RAYA VI.Ap,44602,CHAMPS VIT C 100MG (BTL/30),4
SALES,TERANG.Ap,44602,CHAMPS VIT C 100MG (BTL/30),1
SALES,TERANG.Ap,44602,NATURALLE GARLIC OIL 3000MG (BTL/100S),1
SALES,PELITA 3. AP,44602,CHAMPS VIT C 100MG (BTL/30),4
SALES,WINA.Bidan,44603,CHAMPS VIT C 100MG (BTL/30),6
SALES,RAYA IV.Ap,44603,CHAMPS VIT C 100MG (BTL/30),4
SALES,SAUDARA JAYA.Ap,44603,CHAMPS MULTIVITAMIN PINNEAPLE (BTL/30),50
SALES,SAUDARA JAYA.Ap,44603,CHAMPS VIT C 100MG (BTL/30),12
SALES,SAUDARA JAYA.Ap,44603,NATURALLE VIT E 250IU (BTL/30S),12
SALES,HIDUP SEHAT,44604,CHAMPS VIT C 100MG (BTL/30),12
SALES,CHACHA.Ap,44604,CHAMPS VIT C 100MG (BTL/30),4
SALES,MITRA.Ap,44604,CHAMPS VIT C 100MG (BTL/30),12
SALES,RAYA III.Ap,44604,NATURALLE VIT E 250IU (BTL/30S),5
